UEN	label
129b70b073092e879f305bb576e7cc24a2c5f5d6b2bec02d2d6f49a1d9590b6b	0
e4f8e0527a5ef25b20ef0f8a6ac993092c47a9f50cebc0f90f9a699ba7a75105	1
d8603cd2b7b19ffaa06378620e6502f3bf0baaec0de9ddc989d7a11c6581711c	0
806ebf25eb275a5481b7d660ea61cd51a8b6727e1270ec6f7fe5dc990ce14046	1
2efcd9f3f31c7a4ee25b180d2a90bdc2d8c17ac07ace4daa43c3d29f8a37ebf0	0
29eeb3b8039cda302d72ce102d431745c8dbf2d64a2d6d0e7dfc36286970a2c0	0
eac3416ec5e25f6a60dec240e21876e67c57396045ad992b5ebf0f823abebcaa	1
ae69f85ca504ebe1abd0a3d6029d6bdd91752458f34bf9ca59b4fdce52bfcf69	1
81d8e395f2e04e6fe6692530916cd8cdb7017d198b4679f8ded1600c6eb4e033	1
4ea809735de047d7cd9c5c75c1e958618921d55e03c20dbaabe56e69aacd380e	0
7aa28e02226374ea7d2da9d4e5562006157ad5f0ecfc41f71922fa162ba68047	0
b77e8351ac483c4547a0524101cc4ae2d75afd2fb5d75559f26f8d7aa44eee53	0
b0306fb433ec91bac5a0611bba3e5c1a7d77345a4b87c92586bff14054106b51	0
6d24c01d51f8a467672d7cc189735839fba775721b1528798965b06ff21bd684	0
050e9c22bf76456c68c0d8165abcdddc99f1348d48178532f49d30ef3c77196c	0
750b2f5d0711065d29802a6f8e365fdf112dc25a9af3d321d4b30aa75fa6ab20	1
a855fce1ea475fc518cb87ac4a9e6db3b70674aa2b47a095b452c11c7193b9b2	0
84aba8b5523ccc592e66ee5aa172a03e87341a2f4b5e1a943cec2bd5c6666b1d	0
9e76bbd7bea199e826d41343fe0e238622f063742dfdba6e2493b37324a5dbdd	1
3e883c9d8393f7c57b579f29ce5caf3286c70d1581bcc37f0f18fbe337a35b9d	1
57a665d07cdec61aaff8833d730164276ad6b429ebde0c300e8bf07ca7ccf550	1
f990c7c55a2ec6c7b11443ef3ec4011645283f142d9422a32a27106dea556620	1
e2d36d7bf6a115951cfc43cc5a343b5caa0aa2812ae7a236a735719bfb683b4d	1
ceff87e797972bd7c81eed0287eb38097d700f0d01a45a141e916317aed0dd9d	1
23aa0ee25c7ba45dfc9e16aa5ea3b702ae53cd93cee050f7a30dc0f58abedcc5	0
5bd32d925696046499f376c727392391d1e5f064b1b77ce487ab2b8b2aa52516	0
91372bb68d5556eb4fbc48dac5517051b1bb627ce738d9730fc9d3b7d06dd1f9	1
fde9c5013bf506100d196c3c865dc3acdc36530b46f661826f62a1b0463de3b3	1
e68f65604c3c1ba77422166b53608f111edc9055f567bf613bab937c0b52db90	0
58dfbbdc1543d631ef926bf0a7f401beb55c2ecfaed3477f7b8782306f25bc06	0
33b6c26886e25b0d6ff3896c36639ce6b1a49e31cac375aa67d518c82c0b366e	0
e245d9e4da2e56c2577d864d3e8c50b5e6dbdfe357fc945a1d114f9607ec6adc	0
4c68bb3194ec05751d48fa36010582a972dd749c7645b6d6982e12037940335f	0
7ac624b7f69bdc5dd11ddb359d3474149be64cdb00f45fa1fcccb8db94911da7	0
159c26e0219916a8f7291bf5952504c4e10fd2a970e8701b5e3a4c78a6d4bbf1	1
8584e2446c475cea3222249414e1df3b72727ecc595ba157f80abba74fee4d2c	1
95b0c9b9f5c50d7dd3ba26f59f10c4b764f20cfe6574761965a6ca7f21b661dd	1
475ede857ebe14c8144ccd3e6424de2c67b15de61998580e45a75660412443cc	1
0e77f3d7cf9f8b12509ef970f460c09af685500c41411d32e520df79fca01e37	0
7c4936710fd84e5be804bbda9e49643b06ef32d8fecb32cd49b6824f2c3e71b4	0
73f96a8785b94c24239ad00e1e2d6aa7a91171fa0a3111e9384aa647f6949ee4	1
65566c3c996d944b03a59ef89683dfaea5401e0f61962e32c9189b646420a538	0
e96406b5fe9273b39be5f9bcc78c7fde334b7b0f83ef8ac67d01736539919e72	0
842a55f5a42ce3b3daab8ea3ee2d273d72cb07fe2370895d235363b6af2ffb7a	0
2f95cc7e6d49e80b3bb3a05f6675f1c0d3e8d7c24ed5b6ea389e7ed50b4accfc	1
