UEN	label
c3302ea626ef2ec125d62dad1894b63803eaa2680bce772e7a8ebeb23c13e1fa	1
2b7dbb928af550f078b31a911abacf5f54d70fdde4b94f2c89c717355d3cf9f0	1
de3dd5598e51722cafb825c1b16c80db418c93f361fe5d5bc6f3a790af0fc84f	1
f50bf0386da5dc5659fcf8b5020cba5398f28c90332cba52c0d80eaa8a69161d	1
61923c8575eac8232833c64df7a4f0c0fad6eb28002ca7bdc8754a5b4520005b	0
f6aff09db7d113fc488d3804a0cb3180d3cc05e5377b1def45036dc12557160b	1
1dc2f26045c602c55aea641c57a6192ea75c0c05f876fe94b5ce341c932e97fa	1
9c8680e31ee5b40bdc24de4ba5f494caf10b679220e0148d904ff51ca23544ea	0
ab3b368059f163a6f6881796258ccf31751e30295493e3a8819807add414a249	1
3e6f32ff42343078593fa7687d9afe3123a2220b73bb29edfe051b10c646b646	0
905eb16be87ecf0964a9de42e192e9c79cf1e0c0fae475f408d5e141b58b81f8	1
3b9b19f12e344c6741bfd8994f8b53a93356d399fb27e51adf50f478b3adb609	1
eab5be854b9d1ba369e4fede2941cd99f643f57ad7abeef783a6965bcbe0a584	1
5f82566e0e40c217ab3d5ab5a872601e8f8b265c9b637f0a736964d896095e3f	1
7d9c68dd2369ba3520897e340fb69a5650c6282f2c8d0b300a5b5e7cbaef4b59	1
2a84873d0cb2a4df1b3cffbb5a769d0361bc00d8124eb865134f8c7b55a5e10f	1
3781c4fa01a4453e15e528d3ec85d76144773d97a1614304333eff83f59a75f9	0
091d96c4cfb15fef3e553b31ce434c65197cbea65a0f46745b41c600443de17c	0
a435715d6a5d4fe30783b39a447ce258344f449d7fba6bd99c48b951a45f507d	1
c5dacdaaa049c330500ec52b3a8da3ebc76848298278aa02667d25536ab65bcb	0
e5c8aa2774f2ad14476d1b976f484da421d7eb844a03198ab2924febab940631	1
b585a25de5431cd0beee4497538e4a3b7c8a0c3f5a37dd028d679b09aa55896c	0
6cecc938f4dd20130d896af14c8c492e07f8dbe2fe79367c2b70a5411b3a0148	0
fa6c155b18ae754e1a8b672a08315f3188a6e48ce90bdad311e6fe70914522d8	1
eba460bd703fc074226e92b9719419d6c6537063195aaa5f75091881eb812b33	0
0f8fbdc8543c6d92251479aeefcb1c102641fab5252531c8ade99708aff7485e	1
f72e10cd7ad3ef2c5fc940c982f3f71d3e55d2eae63535dd902a0d5258a70189	0
ed106c5a6931c14a6484a4fc57136642e4eafb7f76e297aeba2a0cd82a6a3442	0
6d9efa2fe48994afe0523e6db58b20925469d626ba70b12ad82dfb3500a409c1	1
303c218db2bd6012837a944e236662110f53cbd66ff4c268d8a6e5bddce23757	1
22b8d66852e6d74dc6fbbe5889afea336b7668fd8c23bcc7ce74fec4f9e65131	1
5226b9d9eacb943106c7b6fadeac8c249c740a0f877c2214f23d065179c1f41e	0
01515b0cf72e7989c806dd97c159ffe7c0ebc93db683416962b23c24a2f53f83	1
8183923b010b3bc60473e47c0e144f2aac6930959c45cb564f10a09e34456480	0
e920443c5861a9e374030cf6ab2ce4864bc29e37f8977740d2fc2865e4ca6673	0
332d3bcf96312ea780005d6f0ac7d7fac8a3d4f6f37014c68ca8d1eb38ab54e8	1
f4da9482f179d1bb94e67a939247cfa6840607d58cc508ee180f4f7eb248b398	0
deb939d85ec7525dcf6f75ea8edecd60c81b0465a0e599a59b5f8fd8a1d4a6ad	0
817056970235661c74ad105b8b1636a990eb2bfa8c654fe001099f03c9cc57cb	0
606c7ab2dfe5f5292d4ffa985491f17fdae500e022c5093d98ffe5ed4f3b3534	1
18c981b1005cb91eaa57b918dcd534ac2058c837214c88228882b99d7edcc615	0
a5fb29e77a3a40f88bd61b943a1eef87e12397bab2d5aa1f5006e94145e0853e	1
b9883eb72c4bc57e970ffc0580a45befd01074d4c76e15a148cb0a3ff466d890	1
db6e822096b4c0d26db0f7dbed6b2807f8bd08fa62b71c1c388ecf2ba3daebec	0
c39feeb7df201aeee86ae4ecb87f62706bc43606a91d0bcd8c3a5e6fc8aea157	1
e4c8178bdf18fb2c0a43da55c8225e119c6d30d1cd90260740e8d43ce4484276	0
08299058c1d3abb8fa014bc09cb9cb4ccb3b80ce4295671ede788cc7f0a52715	1
f6ae6e929a24a9e688e0b94bf769ae17bb2e666c357bd21dabd3a75e42c446b9	1
7e4afd068f84a333fbd954c5dac28a39015b866d02bb73dc95e761b7a2cf2c8b	0
ca1f29beff74d9151cdc756d7835d6d21ea03b8f2427c4809a2a25c6c58a64ed	1
3ae455d73d8c3401a1c89daff1913c9bc0d3af3b4c9c559830f9a711b75dcbb9	1
1793272546d08ae1ae83f805d004d1da5799a3f0866dbf1907712bd7d26b66c6	0
db91aeae8f14f7e16c46eecfb4f7c712394205b550b090557faa3695fad362f0	1
c4b02186735ab1c0a4b91ea2c4af8490e8f2fd64eb1753129a5ae2535bf8bd2e	0
252945bffb6d1376dff21752a40b80d7d3dd425a9f8c7a9719a5644f65c30177	1
7f1941a3a918b8720e40dc7412f6c02c721a0d852a5e750d02235a6ba4bb213e	1
9b94c065d669d53692ab8dc93545e5d84dfea3bfceb48fd325e4c815fb8f843c	0
08d3f22f2e26321b393940be60c46ab8a7c73d320057fe21115d3c1251c7bf54	1
29545a2ea1eaf239d8bd8a85c8c6a0dde43dc9cfc7719dfe18fc0563f13eacf8	1
60937d4144f32ae2dfe06ac518d86194c9a2e4faacad4219531b6fe4a35004f9	1
91f4dd20d63924e0da14440dae54427f3d465a0b9dd4a374508fed15e44d64d1	1
f35699ff05075e8624a10f764fcbad8360f3a8e34986b1d30baa700c65caccf6	1
464981c29ae83e807680fdd73adf3495b0b56eed84c5acd5ed456665d658eb4f	1
6759027f5923a5b728895ad10554baca053d80f0635c4de7ee56e80594c0a600	0
7ab9f270ee409d4e73bacbc9d405a554214ace8312b80c880942726eb17ae235	1
3d113f5cf9bf8d421a53cc9faa226493794c061a57bf446093fd330e26921e86	0
8d586a061b07031ae0d935c923d6fd2237e8c68b6a0e3f4a8ef59375462666a1	1
175db74e4c1a034aa0c2c892cb877efd4837fd2b956beeb1c8bb1ea9f5e5f386	1
96b55f968d14afe470c6b236039316355f64100c76232020796fb21a01c66d9b	1
a2e66c216e278c2e152628ee980750c7d5039a31c0c395e007107a168d9f756d	1
965ac14f05fceb676805357f1b078af2c22e78f46f4c3fa1585bd7fe819f1239	1
bc5612466d01197ec8a8e566a237f3fef79c10223dbbc81c32b4a2a7a8614b21	1
05ec6d3ad1e29714b47e7b1487a213e35366b79d82cc09743030d74d0693e888	0
9fd26179b5def0299c5ee9c9f16361604e3b5088e4db7f02db96c61bdf85fadc	1
97107104bca0967f7cd0ab71074b7e7fdd0a347c48b659d2c3e4d8fa58ca0869	1
f979b570b64b0dbbe4cd549db5971bfd4fd8624280fec8d68983fece4d2423eb	1
0027f4da0f53e8fa995367ed9f126ce905e4f5332a5aa0637782cac4b345a940	1
3fab8f5cb4f047ab6aed35697b38857ae67ea13d012253709c05f404e0278acd	1
